"103 St - Corona Plaza","s7019"
"103 St","s1022"
"103 St","s4037"
"103 St","sA046"
"104 St","sJ026"
"110 St","s4038"
"111 St","s7020"
"111 St","sJ027"
"116 St - Columbia University","s1024"
"116 St","s2039"
"116 St","s4039"
"116 St","sA048"
"121 St","sJ028"
"125 St","s1025"
"125 St","s2040"
"125 St","s4040"
"125 St","sA049"
"135 St","s2041"
"135 St","sA050"
"137 St - City College","s1026"
"138 St - Grand Concourse","s4041"
"145 St","s1027"
"145 St","s3033"
"145 St","sA051"
"149 St - Grand Concourse","s2042"
"14 St","s109"
"14 St","sA036"
"14 St - Union Sq","s4026"
"155 St","sA052"
"155 St","sB028"
"157 St","s1028"
"15 St - Prospect Park","sF015"
"161 St - Yankee Stadium","s4043"
"163 St - Amsterdam Av","sA053"
"167 St","s4044"
"167 St","sB030"
"168 St","s1029"
"168 St - Washington Hts","s1029"
"169 St","sF044"
"170 St","s4045"
"170 St","sB031"
"174-175 Sts","sB032"
"174 St","s2049"
"175 St","sA055"
"176 St","s4047"
"181 St","s1030"
"181 St","sA056"
"182-183 Sts","sB034"
"183 St","s4049"
"18 Av","sD06"
"18 Av","sF011"
"18 Av","sN07"
"18 St","s1010"
"190 St","sA057"
"191 St","s1031"
"1 Av","sL020"
"207 St","s1033"
"20 Av","sD05"
"20 Av","sN06"
"215 St","s1034"
"219 St","s2057"
"21 St - Queensbridge","sF036"
"21 St","sG020"
"225 St","s2058"
"231 St","s1036"
"233 St","s2059"
"238 St","s1037"
"23 St","s1011"
"23 St","s4027"
"23 St","sA037"
"23 St","sF029"
"23 St","sN031"
"25 Av","sD03"
"25 St","sD015"
"28 St","s1012"
"28 St","s4028"
"28 St","sN032"
"2 Av","sF025"
"30 Av","sN043"
"33 St","s4029"
"33 St","s709"
"34 St - 11 Av","s701"
"34 St - Herald Sq","sB013"
"34 St - Penn Station","s1013"
"34 St - Penn Station","sA038"
"36 Av","sN041"
"36 St","sD014"
"36 St","sE015"
"39 Av","sN040"
"3 Av - 138 St","s6021"
"3 Av - 149 St","s2043"
"3 Av","sL021"
"40 St","s7010"
"42 St - Bryant Pk","s703"
"42 St - Port Authority Bus Terminal","s1014"
"45 St","sN013"
"46 St","s7011"
"46 St","sE017"
"47-50 Sts - Rockefeller Ctr","sB015"
"49 St","sN035"
"4 Av","sF017"
"50 St","s1015"
"50 St","sA040"
"50 St","sD011"
"51 St","s4031"
"52 St","s7012"
"53 St","sN012"
"55 St","sD010"
"57 St - 7 Av","sN036"
"57 St","sF033"
"59 St - Columbus Circle","s1016"
"59 St","s4032"
"59 St","sN011"
"5 Av/53 St","sE011"
"5 Av/59 St","sN037"
"5 Av","s703"
"62 St","sD09"
"63 Dr - Rego Park","sE024"
"65 St","sE019"
"66 St - Lincoln Center","s1017"
"67 Av","sE025"
"68 St - Hunter College","s4033"
"69 St","s7014"
"6 Av","s109"
"71 St","sD08"
"72 St","s1018"
"72 St","sA042"
"74 St - Broadway","s7015"
"75 Av","sE027"
"75 St","sJ023"
"77 St","s4034"
"77 St","sR03"
"79 St","s1019"
"79 St","sD07"
"7 Av","sB016"
"7 Av","sB07"
"7 Av","sF016"
"80 St","sA013"
"81 St - Museum of Natural History","sA043"
"82 St - Jackson Hts","s7016"
"85 St - Forest Pkwy","sJ024"
"86 St","s1020"
"86 St","s4035"
"86 St","sA044"
"86 St","sN02"
"86 St","sR02"
"88 St","sA012"
"8 Av","sA036"
"8 Av","sN010"
"8 St - NYU","sN029"
"90 St - Elmhurst Av","s7017"
"96 St","s1021"
"96 St","s4036"
"96 St","sA045"
